,name,city,country,latitude,longitude,Starbucks,stbk_lat,stbk_lon
0,Wetpaint,Seattle,USA,47.603122,-122.333253,Starbucks,47.6041558,-122.3308269
1,Wetpaint,New York,USA,40.7237306,-73.9964312,Starbucks,40.722553,-73.997942
2,Slacker,San Diego,USA,33.022176,-117.081406,Starbucks,33.0234909,-117.0818371
3,Mahalo,Culver City,USA,34.017606,-118.487267,Starbucks,34.0172403,-118.489752
4,Kyte,San Francisco,USA,37.788482,-122.409173,Starbucks,37.7872876,-122.4074322
5,Wesabe,San Francisco,USA,37.793148,-122.402567,Starbucks,37.792846,-122.404304
6,Jangl SMS,Pleasanton,USA,37.697805,-121.907768,Starbucks,37.700953,-121.910039
7,AdaptiveBlue,NYC,USA,40.801358,-74.3372,Starbucks,40.798594,-74.340772
8,Pando Networks,New York,USA,40.722655,-73.99873,Starbucks,40.722553,-73.997942
9,Livestream,New York,USA,40.726155,-73.995625,Starbucks,40.727212,-73.995485
10,YouTube,San Bruno,USA,37.627971,-122.426804,Starbucks,37.62572919999999,-122.4260703
11,CastTV,San Francisco,USA,37.780716,-122.393913,Starbucks,37.77867,-122.396701
12,EQO,Vancouver,CAN,49.263588,-123.138565,Starbucks,49.26313769999999,-123.1388466
13,iSkoot,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
14,iSkoot,San Francisco,USA,37.780134,-122.396744,Starbucks,37.77867,-122.396701
15,Netvibes,Paris,FRA,48.870806,2.34668,Starbucks,48.8706754,2.3469117
16,FeedBurner,Chicago,USA,41.889474,-87.628912,Starbucks,41.89016000000001,-87.63125099999999
17,WeFi,Fairfax,USA,37.09024,-95.712891,United States,37.09024,-95.712891
18,TVtrip,Paris,FRA,48.856667,2.350987,Starbucks Coffee,48.85894820000001,2.3481632
19,Bebo,San Francisco,USA,37.782103,-122.401116,Starbucks,37.784833,-122.39996
20,Loomia,San Francisco,USA,37.796396,-122.404869,Starbucks,37.794632,-122.402728
21,Terabitz,Palo Alto,USA,37.437328,-122.159928,Peet's Coffee,37.4380642,-122.159322
22,Eventbrite,San Francisco,USA,37.779507,-122.39071,Starbucks,37.777035,-122.393641
23,coComment,Geneva,CHE,46.20381,6.139959,Starbucks,46.2071315,6.1422325
24,Zvents,San Mateo,USA,37.553121,-122.301534,Starbucks,37.554356,-122.30661
25,Eventful,San Diego,USA,32.872081,-117.206292,Starbucks,32.870747,-117.210479
26,Seesmic,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
27,Flixster,San Francisco,USA,37.766909,-122.406676,Starbucks,37.7658845,-122.4034908
28,GoingOn,San Francisco,USA,37.782263,-122.392142,Starbucks,37.77867,-122.396701
29,spigit,Pleasanton,USA,37.6637279,-121.8731805,Starbucks,37.660676,-121.875909
30,spigit,Reston,USA,38.9590083,-77.3592746,Starbucks,38.958891,-77.35914
31,spigit,London,GBR,51.5170385,-0.1394759,Starbucks Coffee,51.5175358,-0.1426579
32,Jaxtr,Menlo Park,USA,37.451026,-122.18676,Starbucks,37.452214,-122.183867
33,Respectance,San Mateo,USA,37.55909,-122.321836,Starbucks,37.562897,-122.323927
34,Curse,San Francisco,USA,37.787092,-122.399972,Starbucks,37.788673,-122.400874
35,Vuze,San Mateo,USA,37.4858654,-122.2262606,Starbucks Reserve,37.486332,-122.229944
36,NowPublic,Vancouver,CAN,49.283376,-123.103986,Starbucks,49.2844427,-123.108513
37,Crackle,Culver City,USA,34.017506,-118.401579,Starbucks,34.0173424,-118.4054507
38,BuddyTV,Seattle,USA,47.61968,-122.356756,Starbucks,47.6229507,-122.3568959
39,Retrevo,Sunnyvale,USA,37.368594,-122.034021,Starbucks,37.3686003,-122.0356701
40,Tangler,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068
41,Revver,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338
42,Flock,Menlo Park,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101
43,Dropbox,San Francisco,USA,37.7909427,-122.4084994,Starbucks,37.789146,-122.408456
44,Kongregate,San Francisco,USA,37.786942,-122.401245,Starbucks,37.7884614,-122.4034092
45,DanceJam,San Francisco,USA,37.781557,-122.407959,Starbucks,37.7841086,-122.4076337
46,Yola,San Francisco,USA,37.7911148,-122.3954751,Starbucks Reserve,37.791511,-122.395103
47,Filtrbox,Palo Alto,USA,40.010492,-105.276843,Starbucks,40.007153,-105.275154
48,BitTorrent,San Francisco,USA,37.790998,-122.394668,Starbucks Reserve,37.791511,-122.395103
49,Doostang,Palo Alto,USA,37.427235,-122.145783,Starbucks,37.426867,-122.144091
50,Mevio,San Francisco,USA,37.782263,-122.392142,Starbucks,37.77867,-122.396701
51,Vlingo,Cambridge,USA,42.372912,-71.118999,Starbucks Reserve,42.373333,-71.119214
52,Docstoc,Santa Monica,USA,34.018275,-118.495025,Starbucks,34.0157416,-118.4965857
53,Shock Treatment Management,Seattle,USA,47.610332,-122.339859,Starbucks,47.610021,-122.342583
54,DotBlu,San Francisco,USA,37.09024,-95.712891,United States,37.09024,-95.712891
55,sezmi,Santa Monica,USA,34.017373,-118.453218,Starbucks,34.019731,-118.454721
56,SpiralFrog,New York,USA,37.09024,-95.712891,United States,37.09024,-95.712891
57,MocoSpace,Boston,USA,42.350274,-71.058768,Starbucks,42.35223999999999,-71.05597
58,Minglebox,Bangalore,IND,12.971606,77.594376,Starbucks Vittal Mallya Road,12.9712028,77.5980593
59,Thumbplay,New York,USA,40.725435,-73.997395,Starbucks,40.727212,-73.995485
60,Wonga,London,GBR,51.5192042,-0.1626103,Starbucks,51.5223174,-0.1635591
61,SayNow,Palo Alto,USA,37.42746,-122.143915,Starbucks,37.426867,-122.144091
62,Crunchyroll,San Francisco,USA,37.781265,-122.393229,Starbucks,37.77867,-122.396701
63,OMGPOP,New York,USA,40.723384,-74.001704,Starbucks,40.722553,-73.997942
64,Behance,New York,USA,40.74406,-74.004592,Starbucks,40.741128,-74.0013013
65,FlowPlay,Seattle,USA,47.6015315,-122.335943,Starbucks,47.601606,-122.333974
66,Viewpoints,Chicago,USA,41.890376,-87.63406,Starbucks,41.888639,-87.63452
67,RatePoint,Needham,USA,42.296111,-71.238524,Starbucks,42.29325100000001,-71.235089
68,mig33,Singapore,SGP,37.580304,-122.343679,Starbucks,37.579393,-122.346144
69,GamerDNA,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
70,SpeedDate,San Mateo,USA,37.557637,-122.285714,Starbucks,37.5590258,-122.2830814
71,Animoto,New York,USA,40.72948,-74.000195,Starbucks,40.730715,-74.002585
72,Metaplace,Solana Beach,USA,33.020832,-117.077311,Starbucks,33.017974,-117.07371
73,Fixya,San Mateo,USA,37.566879,-122.323895,Starbucks,37.562897,-122.323927
74,Xobni,San Francisco,USA,37.789634,-122.404052,Starbucks,37.7884614,-122.4034092
75,Worklight,New York,USA,40.756799,-73.976348,Starbucks,40.756425,-73.978301
76,Mobivox,Montreal,CAN,45.500277,-73.560084,Starbucks,45.5007393,-73.55924
77,3Jam,San Francisco,USA,37.765125,-122.4044034,Starbucks,37.7658845,-122.4034908
78,Wikinvest,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
79,RayV,New York,USA,40.781159,-73.978332,Starbucks,40.781017,-73.98101799999999
80,Uptake,Palo Alto,USA,37.443058,-122.161674,Starbucks,37.446791,-122.160561
81,Polyvore,Mountain View,USA,37.386175,-122.083487,Starbucks,37.387571,-122.083068
82,Treemo Labs,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
83,Tumblr,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712
84,EchoSign,Palo Alto,USA,37.445326,-122.160671,Starbucks,37.446791,-122.160561
85,Eurekster,,USA,37.790992,-122.40188,Starbucks,37.792846,-122.404304
86,Songbird,San Francisco,USA,37.787126,-122.39783,Starbucks,37.784833,-122.39996
87,Disqus,San Francisco,USA,37.786906,-122.397672,Starbucks,37.784833,-122.39996
88,Pelago,Seattle,USA,47.607065,-122.335373,Starbucks,47.607304,-122.334259
89,Faves,Seattle,USA,47.603327,-122.334983,Starbucks,47.60378799999999,-122.335678
90,Plazes,Berlin,DEU,52.523402,13.398694,Starbucks,52.52329,13.40217
91,Vringo,New York,USA,40.7550005,-73.9717364,Starbucks,40.75416999999999,-73.971732
92,RepairPal,Emeryville,USA,37.838225,-122.296411,Starbucks,37.8366108,-122.2951415
93,Zmags,Copenhagen,DNK,55.6839208,12.571492,Starbucks,55.6837993,12.5707606
94,Zmags,London,GBR,51.5111369,-0.1247662,Starbucks Coffee,51.5123341,-0.1216241
95,Loopt,Mountain View,USA,37.384717,-122.081625,Starbucks,37.387571,-122.083068
96,Vobile,Santa Clara,USA,37.399208,-121.97895,Starbucks,37.396373,-121.974176
97,RealSelf,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
98,GeoSentric,Amsterdam,NLD,37.09024,-95.712891,United States,37.09024,-95.712891
99,GameLayers,San Francisco,USA,37.803847,-122.402468,Starbucks,37.802887,-122.402977
100,Zoji,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
101,WEbook,New York,USA,38.984172,-77.095965,Starbucks,38.9843169,-77.0945739
102,Youku,Shanghai,CHN,31.2006566,121.4384701,Starbucks,31.19772,121.4369511
103,betNOW,London,GBR,51.511599,-0.126389,Starbucks Coffee,51.5123341,-0.1216241
104,Jott,Seattle,USA,47.6139472,-122.327807,Starbucks Reserve Roastery,47.614039,-122.328079
105,Deezer,Paris,FRA,48.8780596,2.3283853,Starbucks,48.87645999999999,2.326762
106,TradeKing,Fort Lauderdale,USA,26.119102,-80.1343038,Starbucks,26.122237,-80.137046
107,HubSpot,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
108,BeliefNet,New York,USA,40.740231,-73.985433,Starbucks,40.74054,-73.98422099999999
109,Goodreads,Santa Monica,USA,34.01052,-118.495981,Starbucks,34.013979,-118.493176
110,HubPages,San Francisco,USA,37.7876952,-122.3991505,Starbucks,37.788673,-122.400874
111,Ribbit,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068
112,WeShow,New York,USA,40.752516,-73.973072,Starbucks,40.75416999999999,-73.971732
113,Streamezzo,Paris,FRA,48.872159,2.291225,Starbucks,48.8761606,2.2964653
114,RipCode,Austin,USA,30.402252,-97.748795,Starbucks,30.401952,-97.746882
115,PlayFirst,San Francisco,USA,37.790346,-122.40185,Starbucks,37.7884614,-122.4034092
116,Qik,Redwood City,USA,37.486368,-122.230116,Starbucks Reserve,37.486332,-122.229944
