,name,city,country,latitude,longitude,starbucks,starbucks_lat,starbucks_lon
0,Wetpaint,Seattle,USA,47.603122,-122.333253,Starbucks,47.6041558,-122.3308269
1,Wetpaint,New York,USA,40.7237306,-73.9964312,Starbucks,40.722553,-73.997942
2,Geni,West Hollywood,USA,34.090368,-118.393064,,,
3,Slacker,San Diego,USA,33.022176,-117.081406,Starbucks,33.0234909,-117.0818371
4,Joost,New York,USA,40.7464969,-74.0094471,,,
5,Babelgum,London,GBR,53.344104,-6.267494,Starbucks Crampton Quay,53.346055,-6.2623945
6,Mahalo,Culver City,USA,34.017606,-118.487267,Starbucks,34.0172403,-118.489752
7,Kyte,San Francisco,USA,37.788482,-122.409173,Starbucks,37.789146,-122.408456
8,Veoh,San Diego,USA,32.902266,-117.20834,,,
9,Wesabe,San Francisco,USA,37.793148,-122.402567,Starbucks,37.792183,-122.40377
10,Jingle Networks,New York,USA,37.480999,-122.173887,,,
11,Jangl SMS,Pleasanton,USA,37.697805,-121.907768,,,
12,Jajah,Mountain View,USA,37.4233896,-122.0899512,,,
13,blogTV,Ramat Gan,ISR,31.046051,34.851612,,,
14,AdaptiveBlue,NYC,USA,40.801358,-74.3372,Starbucks,40.798594,-74.340772
15,Pando Networks,New York,USA,40.722655,-73.99873,Starbucks,40.722553,-73.997942
16,Livestream,New York,USA,40.726155,-73.995625,Starbucks,40.727212,-73.995485
17,Ustream,San Francisco,USA,37.392936,-122.07948,,,
18,GrandCentral,Fremont,USA,37.465645,-121.932202,,,
19,YouTube,San Bruno,USA,37.627971,-122.426804,Starbucks,37.62572919999999,-122.4260703
20,CastTV,San Francisco,USA,37.780716,-122.393913,Starbucks,37.77867,-122.396701
21,SellABand,46395 Bocholt,DEU,51.808933,6.553452,,,
22,SodaHead,Encino,USA,37.269175,-119.306607,,,
23,Revision3,San Francisco,USA,37.757758,-122.388243,,,
24,Funny Or Die,San Mateo,USA,37.421621,-122.137444,,,
25,EQO,Vancouver,CAN,49.263588,-123.138565,Starbucks,49.26313769999999,-123.1388466
26,iSkoot,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
27,iSkoot,San Francisco,USA,37.780134,-122.396744,Starbucks,37.77867,-122.396701
28,Pageflakes,San Francisco,USA,37.758113,-122.414689,,,
29,Netvibes,Paris,FRA,48.870806,2.34668,Starbucks,48.8706754,2.3469117
30,FeedBurner,Chicago,USA,41.889474,-87.628912,Starbucks,41.89016000000001,-87.63125099999999
31,WeFi,Fairfax,USA,37.09024,-95.712891,United States,37.09024,-95.712891
32,TVtrip,Paris,FRA,48.856667,2.350987,Starbucks,48.8568201,2.3548934
33,Bebo,San Francisco,USA,37.782103,-122.401116,Starbucks,37.784833,-122.39996
34,RockYou,Redwood City,USA,37.484619,-122.206893,,,
35,FlickIM,Berkeley,USA,37.870744,-122.269259,Starbucks,37.868791,-122.268212
36,Loomia,San Francisco,USA,37.796396,-122.404869,Starbucks,37.794632,-122.402728
37,Terabitz,Palo Alto,USA,37.437328,-122.159928,Peet's Coffee,37.4380642,-122.159322
38,Meebo,Mountain View,USA,37.393679,-122.079017,,,
39,Newsvine,Seattle,USA,47.618599,-122.358484,,,
40,Eventbrite,San Francisco,USA,37.779507,-122.39071,Starbucks,37.777035,-122.393641
41,coComment,Geneva,CHE,46.20381,6.139959,,,
42,Hotelicopter,Charlottesville,USA,38.030823,-78.48158,,,
43,Zvents,San Mateo,USA,37.553121,-122.301534,,,
44,Eventful,San Diego,USA,32.872081,-117.206292,,,
45,Seesmic,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
46,ooma,Palo Alto,USA,37.451958,-122.116026,,,
47,Flixster,San Francisco,USA,37.766909,-122.406676,Starbucks,37.7658845,-122.4034908
48,oDesk,Redwood City,USA,37.479952,-122.178557,,,
49,GoingOn,San Francisco,USA,37.782263,-122.392142,,,
50,spigit,Pleasanton,USA,37.6637279,-121.8731805,Starbucks,37.660676,-121.875909
51,spigit,Reston,USA,38.9590083,-77.3592746,Starbucks,38.958891,-77.35914
52,spigit,London,GBR,51.5170385,-0.1394759,Starbucks Coffee,51.514458,-0.142504
53,Bazaarvoice,Austin,USA,30.407545,-97.717667,,,
54,Indeed,Stamford,USA,41.038155,-73.558082,,,
55,Jaxtr,Menlo Park,USA,37.451026,-122.18676,Starbucks,37.452214,-122.183867
56,Respectance,San Mateo,USA,37.55909,-122.321836,,,
57,PeerMe,Mountain View,USA,37.419819,-122.090188,,,
58,Curse,San Francisco,USA,37.787092,-122.399972,Starbucks,37.787764,-122.401087
59,Phonezoo,Sunnyvale,USA,37.386376,-121.991471,,,
60,Vuze,San Mateo,USA,37.4858654,-122.2262606,Starbucks Reserve,37.486332,-122.229944
61,PodTech,Palo Alto,USA,37.408256,-122.154176,,,
62,NowPublic,Vancouver,CAN,49.283376,-123.103986,Starbucks,49.2844427,-123.108513
63,Crackle,Culver City,USA,34.017506,-118.401579,,,
64,Rebtel,Nacka Strand,SWE,59.3167843,18.1582777,,,
65,BuddyTV,Seattle,USA,47.61968,-122.356756,,,
66,Retrevo,Sunnyvale,USA,37.368594,-122.034021,Starbucks,37.3686003,-122.0356701
67,Tangler,Mountain View,USA,37.386665,-122.084171,Starbucks,37.387571,-122.083068
68,Nimbuzz,Capelle a/d IJssel,NLD,51.9122575,4.5464658,,,
69,TalkPlus,San Mateo,USA,37.553743,-122.300246,,,
70,obopay,Redwood City,USA,37.524729,-122.258037,,,
71,PermissionTV,Waltham,USA,42.417268,-71.258466,,,
72,IMVU,Mountain View,USA,37.3927975,-122.0727749,,,
73,KnockaTV,,ISR,31.046051,34.851612,,,
74,GreatCall,San Diego,USA,32.964294,-117.265191,,,
75,Revver,Los Angeles,USA,34.052187,-118.243425,Starbucks,34.050984,-118.242338
76,Flock,Menlo Park,USA,37.491356,-122.228843,Starbucks,37.490422,-122.225101
77,Dropbox,San Francisco,USA,37.7909427,-122.4084994,Starbucks,37.789348,-122.406831
78,Kongregate,San Francisco,USA,37.786942,-122.401245,Starbucks,37.787764,-122.401087
79,DanceJam,San Francisco,USA,37.781557,-122.407959,Starbucks,37.7841086,-122.4076337
80,Yola,San Francisco,USA,37.7911148,-122.3954751,Starbucks Reserve,37.791511,-122.395103
81,Filtrbox,Palo Alto,USA,40.010492,-105.276843,Starbucks,40.010728,-105.276648
82,BitTorrent,San Francisco,USA,37.790998,-122.394668,Starbucks Reserve,37.791511,-122.395103
83,Doostang,Palo Alto,USA,37.427235,-122.145783,Starbucks,37.426867,-122.144091
84,Mevio,San Francisco,USA,37.782263,-122.392142,,,
85,Vlingo,Cambridge,USA,42.372912,-71.118999,Starbucks Reserve,42.373333,-71.119214
86,Docstoc,Santa Monica,USA,34.018275,-118.495025,Starbucks,34.0157416,-118.4965857
87,Shock Treatment Management,Seattle,USA,47.610332,-122.339859,Starbucks,47.6090095,-122.3399417
88,DotBlu,San Francisco,USA,37.09024,-95.712891,United States,37.09024,-95.712891
89,sezmi,Belmont,USA,37.524422,-122.265869,,,
90,sezmi,Santa Monica,USA,34.017373,-118.453218,Starbucks,34.019731,-118.454721
91,sezmi,Fort Lauderdale,USA,26.207024,-80.157296,,,
92,SpiralFrog,New York,USA,37.09024,-95.712891,United States,37.09024,-95.712891
93,MocoSpace,Boston,USA,42.350274,-71.058768,Starbucks,42.35223999999999,-71.05597
94,Minglebox,Bangalore,IND,12.971606,77.594376,,,
95,SnapTell,Palo Alto,USA,37.433414,-122.128772,,,
96,Thumbplay,New York,USA,40.725435,-73.997395,Starbucks,40.727212,-73.995485
97,Wonga,London,GBR,51.5192042,-0.1626103,Starbucks,51.5223174,-0.1635591
98,Spiceworks,Austin,USA,30.386601,-97.753739,,,
99,SayNow,Palo Alto,USA,37.42746,-122.143915,Starbucks,37.426867,-122.144091
100,Crunchyroll,San Francisco,USA,37.781265,-122.393229,Starbucks,37.77867,-122.396701
101,OMGPOP,New York,USA,40.723384,-74.001704,Starbucks,40.722553,-73.997942
102,Behance,New York,USA,40.74406,-74.004592,Starbucks,40.741128,-74.0013013
103,hulu,Los Angeles,USA,34.031276,-118.456806,,,
104,Attributor,San Mateo,USA,37.453687,-122.228595,,,
105,Mixx,McLean,USA,38.003376,-79.420926,,,
106,GENWI,Los Altos,USA,33.8171,-111.9035,,,
107,FlowPlay,Seattle,USA,47.6015315,-122.335943,Starbucks,47.601606,-122.333974
108,Viewpoints,Chicago,USA,41.890376,-87.63406,Starbucks,41.888639,-87.63452
109,RatePoint,Needham,USA,42.296111,-71.238524,Starbucks,42.29325100000001,-71.235089
110,mig33,Singapore,SGP,37.580304,-122.343679,Starbucks,37.579393,-122.346144
111,GamerDNA,Cambridge,USA,42.375392,-71.118487,Starbucks Reserve,42.373333,-71.119214
112,SpeedDate,San Mateo,USA,37.557637,-122.285714,Starbucks,37.5590258,-122.2830814
113,Animoto,New York,USA,40.72948,-74.000195,Starbucks,40.730715,-74.002585
114,mEgo,Los Angeles,USA,34.064491,-118.42749,,,
115,Metaplace,Solana Beach,USA,33.020832,-117.077311,Starbucks,33.017974,-117.07371
116,BroadClip,Livermore,USA,37.661237,-121.803572,,,
117,Fixya,San Mateo,USA,37.566879,-122.323895,,,
118,BuzzDash,Marina del Rey,USA,33.977854,-118.445271,,,
119,Xobni,San Francisco,USA,37.789634,-122.404052,Starbucks,37.7884614,-122.4034092
120,Worklight,New York,USA,40.756799,-73.976348,Starbucks,40.757077,-73.97596899999999
121,MatchMine,Needham,USA,42.304545,-71.220187,,,
122,Mobivox,Montreal,CAN,45.500277,-73.560084,Starbucks,45.5007393,-73.55924
123,3Jam,San Francisco,USA,37.765125,-122.4044034,Starbucks,37.7658845,-122.4034908
124,PlaySpan,Santa Clara,USA,37.396312,-121.961396,,,
125,Wikinvest,San Francisco,USA,37.775196,-122.419204,Starbucks,37.7770595,-122.417347
126,FriendFeed,Mountain View,USA,37.39248,-122.072612,,,
127,Whiskey Media,San Francisco,USA,37.856331,-122.495222,,,
128,Fon,Madrid,ESP,40.530724,-3.632687,,,
129,RayV,New York,USA,40.781159,-73.978332,Starbucks,40.781017,-73.98101799999999
130,Uptake,Palo Alto,USA,37.443058,-122.161674,,,
131,Polyvore,Mountain View,USA,37.386175,-122.083487,Starbucks,37.387571,-122.083068
132,Treemo Labs,Seattle,USA,47.620716,-122.347533,Starbucks,47.62103949999999,-122.3507743
133,Veodia,San Mateo,USA,37.553743,-122.300246,,,
134,Tumblr,New York,USA,40.743808,-73.983626,Starbucks,40.744169,-73.983712
135,uTest,Framingham,USA,42.288291,-71.52679,,,
136,Songkick,London,GBR,51.54202,-0.0558343,,,
137,Automattic,San Francisco,USA,37.744274,-122.421344,,,
